case_id,condition,method,repeats,mean_dice,worst_dice,best_dice,mean_iou,worst_iou,best_iou
PatientID_0038_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.2728775357011105,0.2728775357011105,0.2728775357011105,0.1579954759187838,0.1579954759187838,0.1579954759187838
PatientID_0038_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.2733658903216873,0.2733658903216873,0.2733658903216873,0.1583229989522371,0.1583229989522371,0.1583229989522371
PatientID_0038_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.3073253193218008,0.3073253193218008,0.3073253193218008,0.1815619521254008,0.1815619521254008,0.1815619521254008
PatientID_0038_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.28168670174151605,0.2776859504267903,0.2840721262343337,0.16393394181895563,0.1612284069280835,0.1655501554541453
PatientID_0038_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.27849987479441835,0.2759203606447047,0.2805033809301183,0.16177834822690648,0.1600392199769029,0.1631311035072394
PatientID_0038_T1_to_T2_t1c,SHIFT_3,PCC,6,0.325864012033699,0.3160405710120954,0.3310668670298447,0.19465939874914792,0.1876770696413394,0.1983703603844875
PatientID_0039_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.744730170274406,0.7446577327517824,0.7450199203649004,0.5932829574626286,0.5931909983862692,0.5936507937680662
PatientID_0039_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.11771097444445648,0.1177109744444565,0.1177109744444565,0.0625360786872164,0.0625360786872164,0.0625360786872164
PatientID_0039_T1_to_T2_t1c,FP_25,PCC,5,0.2875769649968169,0.2875769649968169,0.2875769649968169,0.1679357023756481,0.1679357023756481,0.1679357023756481
PatientID_0039_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.634311239955153,0.5541470482516937,0.7008330315644996,0.46648356822193887,0.3832665332206246,0.5394480068192228
PatientID_0039_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.10511891842838601,0.0996015937885545,0.1122781602476859,0.05547998730474813,0.0524109016481015,0.0594781275787647
PatientID_0039_T1_to_T2_t1c,MIXED,PCC,30,0.17837739964172805,0.1445128578151914,0.2089822529502024,0.09804357286219333,0.077884052493093,0.1166835188843916
PatientID_0039_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.6979355306595553,0.6979355306595553,0.6979355306595553,0.5360222532584084,0.5360222532584084,0.5360222532584084
PatientID_0039_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.1064831584377973,0.1064831584377973,0.1064831584377973,0.0562356543503757,0.0562356543503757,0.0562356543503757
PatientID_0039_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.1695038031203361,0.1695038031203361,0.1695038031203361,0.0925999210343094,0.0925999210343094,0.0925999210343094
PatientID_0039_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.7077145962137423,0.7077145962137423,0.7077145962137423,0.5476457400370949,0.5476457400370949,0.5476457400370949
PatientID_0039_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.1097428469558596,0.1097428469558596,0.1097428469558596,0.0580570992416062,0.0580570992416062,0.0580570992416062
PatientID_0039_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.1966678741041891,0.1966678741041891,0.1966678741041891,0.1090580439628322,0.1090580439628322,0.1090580439628322
PatientID_0039_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.6434262948852904,0.50126765673646,0.7222021007384639,0.47823690383494366,0.3344610924759639,0.565192743887417
PatientID_0039_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.1148738381416985,0.1046722203722071,0.122057225801873,0.06094675987606447,0.055226447724971,0.0649951785795573
PatientID_0039_T1_to_T2_t1c,SHIFT_3,PCC,6,0.24212241955050298,0.1702281783465722,0.2806954003475742,0.13818250598377227,0.0930324625706586,0.1632610071280259
PatientID_0041_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.48424167697384457,0.4842170160613923,0.4843403206236535,0.3194715620408107,0.3194500936045351,0.319557435785913
PatientID_0041_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.3540320592260152,0.3538840937513018,0.3541307028758242,0.21509049890316714,0.2149812734670426,0.2151633204064156
PatientID_0041_T1_to_T2_t1c,FP_25,PCC,5,0.4442416769763106,0.4440197287642404,0.4443896424510241,0.2855467250481937,0.2853633410503713,0.2856689918131207
PatientID_0041_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.42694204689106396,0.4177558570026045,0.4479654747565989,0.27145640427824985,0.2640274314788008,0.2886311274101349
PatientID_0041_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.34324702018023545,0.3400739827780472,0.3475955610759805,0.2071832058328768,0.2048729758427519,0.210357436071162
PatientID_0041_T1_to_T2_t1c,MIXED,PCC,30,0.38198109333855434,0.3615289766114963,0.3944512947352372,0.23613286078679754,0.2206502107750865,0.2456800553532232
PatientID_0041_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.4002466091615138,0.4002466091615138,0.4002466091615138,0.2501926931362577,0.2501926931362577,0.2501926931362577
PatientID_0041_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.3528976572532122,0.3528976572532122,0.3528976572532122,0.2142536308418735,0.2142536308418735,0.2142536308418735
PatientID_0041_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.3789149198903258,0.3789149198903258,0.3789149198903258,0.2337415380517424,0.2337415380517424,0.2337415380517424
PatientID_0041_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.4477188656320765,0.4477188656320765,0.4477188656320765,0.2884264040600185,0.2884264040600185,0.2884264040600185
PatientID_0041_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.3588162762417499,0.3588162762417499,0.3588162762417499,0.2186326071210644,0.2186326071210644,0.2186326071210644
PatientID_0041_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.4139334155725072,0.4139334155725072,0.4139334155725072,0.2609811086635325,0.2609811086635325,0.2609811086635325
PatientID_0041_T1_to_T2_t1c,SHIFT_3,EIA_BLEND_075,6,0.47190711059564894,0.4654747225976896,0.4858199753707879,0.3088477924012471,0.3033346726152403,0.3208469055927649
PatientID_0041_T1_to_T2_t1c,SHIFT_3,EIA_LINEAR,6,0.36027538022850747,0.3565967941210483,0.364364981543504,0.2197197961771121,0.2169867947766366,0.2227666792896519
PatientID_0041_T1_to_T2_t1c,SHIFT_3,PCC,6,0.42986025486457907,0.4205918619346121,0.4494451295037333,0.27382376658473356,0.2662971348843549,0.2898608350465319
PatientID_0044_T1_to_T2_t1c,FP_25,EIA_BLEND_075,5,0.6904326631046823,0.6898232785832348,0.6910420476261298,0.5272222284811412,0.526511628127204,0.5279329611136253
PatientID_0044_T1_to_T2_t1c,FP_25,EIA_LINEAR,5,0.1779402805673552,0.1779402805673552,0.1779402805673552,0.0976588631780405,0.0976588631780405,0.0976588631780405
PatientID_0044_T1_to_T2_t1c,FP_25,PCC,5,0.3217550276289595,0.3217550276289595,0.3217550276289595,0.1917211331910961,0.1917211331910961,0.1917211331910961
PatientID_0044_T1_to_T2_t1c,MIXED,EIA_BLEND_075,30,0.5407678246371823,0.5063985376275447,0.6221815967025651,0.37166844456113707,0.3390452879073662,0.4515701019674613
PatientID_0044_T1_to_T2_t1c,MIXED,EIA_LINEAR,30,0.17030266123188012,0.1675807437027481,0.1730652043957753,0.09307820044999104,0.0914532759922004,0.0947298201818779
PatientID_0044_T1_to_T2_t1c,MIXED,PCC,30,0.22746292934365334,0.2120658137684138,0.2492382695767098,0.12838951413463215,0.118609407253371,0.1423599028394153
PatientID_0044_T1_to_T2_t1c,PARTIAL_25,EIA_BLEND_075,1,0.5953686777588761,0.5953686777588761,0.5953686777588761,0.4238611716165461,0.4238611716165461,0.4238611716165461
PatientID_0044_T1_to_T2_t1c,PARTIAL_25,EIA_LINEAR,1,0.1724558198743279,0.1724558198743279,0.1724558198743279,0.0943647885647333,0.0943647885647333,0.0943647885647333
PatientID_0044_T1_to_T2_t1c,PARTIAL_25,PCC,1,0.2157221208970987,0.2157221208970987,0.2157221208970987,0.1209016396445008,0.1209016396445008,0.1209016396445008
PatientID_0044_T1_to_T2_t1c,PARTIAL_50,EIA_BLEND_075,1,0.6154783669666428,0.6154783669666428,0.6154783669666428,0.4445422537656064,0.4445422537656064,0.4445422537656064
PatientID_0044_T1_to_T2_t1c,PARTIAL_50,EIA_LINEAR,1,0.1742839734386703,0.1742839734386703,0.1742839734386703,0.0954606144541186,0.0954606144541186,0.0954606144541186
PatientID_0044_T1_to_T2_t1c,PARTIAL_50,PCC,1,0.2486288850552623,0.2486288850552623,0.2486288850552623,0.1419624220104515,0.1419624220104515,0.1419624220104515
